k,period,gov,opp,
3,1997_10,"AWS, UW","ROP, SLD, PSL",
3,1997_11,"AWS, UW",,
3,1997_12,"AWS, UW",,
3,1998_01,"AWS, UW",,
3,1998_02,"AWS, UW",,
3,1998_03,"AWS, UW",,
3,1998_04,"AWS, UW",,
3,1998_05,"AWS, UW",,
3,1998_06,"AWS, UW",,
3,1998_07,"AWS, UW",,
3,1998_08,"AWS, UW",,
3,1998_09,"AWS, UW",,
3,1998_10,"AWS, UW",,
3,1998_11,"AWS, UW",,
3,1998_12,"AWS, UW",,
3,1999_01,"AWS, UW",,
3,1999_02,"AWS, UW",,
3,1999_03,"AWS, UW",,
3,1999_04,"AWS, UW",,
3,1999_05,"AWS, UW",,
3,1999_06,"AWS, UW",,
3,1999_07,"AWS, UW",,
3,1999_08,"AWS, UW",,
3,1999_09,"AWS, UW",,
3,1999_10,"AWS, UW",,
3,1999_11,"AWS, UW",,
3,1999_12,"AWS, UW",,
3,2000_01,"AWS, UW, PRS",,
3,2000_02,"AWS, UW, PRS",,
3,2000_03,"AWS, UW, PRS, ROP-PC",,
3,2000_04,"AWS, UW, PRS, ROP-PC",,
3,2000_05,"AWS, UW, PRS, ROP-PC",,
3,2000_06,"AWS, UW, PRS, ROP-PC",,
3,2000_07,"AWS, ROP-PC",,
3,2000_08,"AWS, ROP-PC",,
3,2000_09,"AWS, ROP-PC",,
3,2000_10,"AWS, ROP-PC",,
3,2000_11,"AWS, ROP-PC",,
3,2000_12,"AWS, ROP-PC",,
3,2001_01,"AWS, ROP-PC",,
3,2001_02,"AWS, ROP-PC",,
3,2001_03,"AWS, SKL, ROP-PC",,
3,2001_04,"AWS, SKL, ROP-PC",,
3,2001_05,"AWS, SKL, ROP-PC",,
3,2001_06,"AWS, SKL, ROP-PC",,
3,2001_07,"AWS, SKL, PiS",,
3,2001_08,"AWS, SKL, PiS",,
3,2001_09,"AWS, SKL, PiS",,
4,2001_10,"SLD, PSL, UP","PO, PiS, LPR, Samoobrona",
4,2001_11,"SLD, PSL, UP","PO, PiS, LPR, Samoobrona",
4,2001_12,"SLD, PSL, UP","PO, PiS, LPR, Samoobrona",
4,2002_01,"SLD, PSL, UP","PO, PiS, LPR, Samoobrona",
